category,correct_response,game,value,clue
ANIMALS,Paladin (Richard Boone),"Show #1 - Monday, September 10, 1984",800,"His card read ""Have gun, will travel"""
FOREIGN CUISINE,Independence Hall,"Show #1 - Monday, September 10, 1984",800,"Site where John Hancock signed his ""John Hancock"""
THE BIBLE,what,"Show #1 - Monday, September 10, 1984",,"It's the first 4-letter word in ""The Star Spangled Banner"""
INVENTIONS,the love of money,"Show #1 - Monday, September 10, 1984",1000,"According to 1st Timothy, it is the ""root of all evil"""
ANIMALS,Mr. Wizard,"Show #1 - Monday, September 10, 1984",1000,Name under which experimenter Don Herbert taught viewers all about science
FOREIGN CUISINE,the Capitol,"Show #1 - Monday, September 10, 1984",1000,D.C. building shaken by November '83 bomb blast
NUMBER PLEASE,John Wilkes Booth,"Show #1 - Monday, September 10, 1984",1000,"After the deed, he leaped to the stage shouting ""Sic semper tyrannis"""
THE BIBLE,oath,"Show #1 - Monday, September 10, 1984",1000,The president takes one before stepping into office
TABLE MANNERS,a pig,"Show #446 - Monday, May 26, 1986",100,"From 1905-7, Austria & Serbia fought an economic ""war"" over tariffs, such as over this porcine animal"
MUSIC ON THE MAP,(used) plates,"Show #446 - Monday, May 26, 1986",100,"While Amy Vanderbilt says a waiter should remove these from the right, "
20th CENTURY ART,Ipanema,"Show #446 - Monday, May 26, 1986",100,"The girl from here was ""tall & tan & young & lovely"""
GOLF,Sears-Roebuck,"Show #446 - Monday, May 26, 1986",100,Grandma Moses ordered her first set of paints from this Chicago mail order company
LEFTOVERS,a bunker,"Show #446 - Monday, May 26, 1986",100,"Archie, Edith, or a sand trap"
MATHEMATICS,the dot,"Show #446 - Monday, May 26, 1986",100,"Innovation introduced in the Middle Ages to distinguish the small ""i"" from the m, n, & u"
TABLE MANNERS,the Normans,"Show #446 - Monday, May 26, 1986",200,The western jury system is thought to have been brought to England by these peoples in 1066
MUSIC ON THE MAP,the fingers,"Show #446 - Monday, May 26, 1986",200,"In Spain and Portugal, the proper way to eat asparagus is with these"
20th CENTURY ART,on top of the world,"Show #446 - Monday, May 26, 1986",200,"It's where I'm sitting ""just rolling along, just rolling along"""
GOLF,cubism,"Show #446 - Monday, May 26, 1986",200,"Primarily a movement in painting, this ""square"" trend also influenced sculpture"
LEFTOVERS,Bing Crosby,"Show #446 - Monday, May 26, 1986",200,"In 1937, this singer & golf enthusiast put on the 1st celebrity pro-am match"
MATHEMATICS,cigarette smoke,"Show #446 - Monday, May 26, 1986",200,"Most air conditioners' filters won't trap this, the #1 contaminant of indoor air"
TABLE MANNERS,the 16th,"Show #446 - Monday, May 26, 1986",300,"Century known as the ""high Renaissance"""
MUSIC ON THE MAP,tablecloth,"Show #446 - Monday, May 26, 1986",300,"If napkins weren't provided, 19th c. etiquette permitted a gentleman to use a hanky or this instead"
20th CENTURY ART,the Mersey,"Show #446 - Monday, May 26, 1986",300,Gerry & the Pacemakers ferry crossed this Liverpool river
GOLF,the Rockefellers,"Show #446 - Monday, May 26, 1986",300,Manhattan's MoMA stands on land once occupied by 2 mansions of this noted N.Y. family
LEFTOVERS,a skins game,"Show #446 - Monday, May 26, 1986",300,"In December 1985, Fuzzy Zoeller won $255,000 competing in this type of hole-by-hole contest"
MATHEMATICS,chinas,"Show #446 - Monday, May 26, 1986",300,"Minton, Limoges, & Spde, for example"
TABLE MANNERS,Japan,"Show #446 - Monday, May 26, 1986",400,World power whose emperor gave up claims to divinity before it adopted a new constitution in 1947
20th CENTURY ART,Wyoming,"Show #446 - Monday, May 26, 1986",400,"""Whoopee ti yi yo, git along little dogies, for you know"" this state ""will be your new home"""
GOLF,LeRoy Neiman,"Show #446 - Monday, May 26, 1986",400,"Famous for his Olympic & sports action paintings, he's appeared in 2 ""Rocky"" movies"
LEFTOVERS,Jan Stephenson,"Show #446 - Monday, May 26, 1986",400,"Playboy asked this Australian golfer to pose in the buff, not in the rough"
MATHEMATICS,the bathroom,"Show #446 - Monday, May 26, 1986",400,"According to a survey, ""True Story"" is the magazine read most by people sitting here"
TABLE MANNERS,the Eisenhower Doctrine,"Show #446 - Monday, May 26, 1986",500,1957 U.S. policy allowing the president to use armed force in the Middle East
20th CENTURY ART,"(2 of) Mexico, Alaska, Berlin, Hong Kong, and Waikiki, Hawaii","Show #446 - Monday, May 26, 1986",,"2 of the 5 specific places ""Travelin' Man"" Ricky Nelson had traveled to according to the song"
GOLF,a robot,"Show #446 - Monday, May 26, 1986",500,1920 painting by George Grosz shows one of these machines Karel Capek named the next year
LEFTOVERS,Tom Watson,"Show #446 - Monday, May 26, 1986",500,"Stanford psychology grad who, in 1980, became 1st player to win over $½ million in 1 year"
MATHEMATICS,a honda,"Show #446 - Monday, May 26, 1986",500,"Not a Kawasaki, but this loop knot, makes a lasso circular"
TABLE MANNERS,letters,"Show #446 - Monday, May 26, 1986",200,"In algebra, numbers can be represented by numerals or these symbols"
MUSIC ON THE MAP,gold ore,"Show #446 - Monday, May 26, 1986",200,"U.S. 550 between Ouray & Silverton is called ""Million Dollar Highway"" because it's paved with this ore"
20th CENTURY ART,World War I,"Show #446 - Monday, May 26, 1986",200,"Though WWII's ""Rosie the Riveter"" wore them, this war 1st popularized trousers for womenswear"
GOLF,poetry,"Show #446 - Monday, May 26, 1986",200,"Literary hobby of Dr. Zhivago, whose writing got better, not ""verse"""
LEFTOVERS,David Eisenhower,"Show #446 - Monday, May 26, 1986",200,Julie's Ike
MATHEMATICS,,"Show #446 - Monday, May 26, 1986",200,"In it, Woody Allen proves cryogenics works, if you don't mind waking up in a police state"
TABLE MANNERS,hypoteneuse,"Show #446 - Monday, May 26, 1986",400,Term for the side of a right triangle that is opposite the 90° angle
MUSIC ON THE MAP,the southwest corner,"Show #446 - Monday, May 26, 1986",400,"This corner of Colorado meets corners of 3 other states at ""4 Corners"""
20th CENTURY ART,the shoulder,"Show #446 - Monday, May 26, 1986",400,Body part on which you'd wear an epaulet
GOLF,suicide,"Show #446 - Monday, May 26, 1986",400,"In ""And Quiet Flows The Don"", Natalia Korshunov tries to commit this with a scythe"
LEFTOVERS,David Horowitz,"Show #446 - Monday, May 26, 1986",400,"Consumers can ""fight back"" with him"
MATHEMATICS,,"Show #446 - Monday, May 26, 1986",,Film which used the 
TABLE MANNERS,10 cubed,"Show #446 - Monday, May 26, 1986",,"1,000, expressed by using 10 and an exponent"
MUSIC ON THE MAP,Horace Greeley,"Show #446 - Monday, May 26, 1986",600,"In Colo., ""people had a careless way ... of firing revolvers ... at each other ..."", so he went east, young man"
20th CENTURY ART,the zipper,"Show #446 - Monday, May 26, 1986",600,"1st sold by the Hookless Fastener Co. in 1913, it didn't get this name until 1923"
GOLF,Lenin,"Show #446 - Monday, May 26, 1986",600,"In 1927, this Russian leader's book ""The State & Revolution"" was banned in Boston as obscene"
LEFTOVERS,David Ben-Gurion,"Show #446 - Monday, May 26, 1986",600,"1st prime minister of Israel, he could be called the father of his country"
MATHEMATICS,New York,"Show #446 - Monday, May 26, 1986",600,"In 1997, Kurt Russell & Season Hubley will try to ""escape"" from this city turned prison"
TABLE MANNERS,axiom,"Show #446 - Monday, May 26, 1986",800,A basic math statement whose truth is self-evident & therefore needs no further proof
MUSIC ON THE MAP,cannibalism,"Show #446 - Monday, May 26, 1986",800,"U. of Colorado's ""Alferd Packer Grill"" was named after 1st man in U.S. convicted of this crime"
20th CENTURY ART,a kimono,"Show #446 - Monday, May 26, 1986",800,"In Japanese, it means ""a thing for wearing"" or ""clothes"""
GOLF,"""Fathers and Sons""","Show #446 - Monday, May 26, 1986",800,"Most acclaimed novel of Ivan Turgenev, 1st Russian to be widely read and admired in Europe"
LEFTOVERS,Hal David,"Show #446 - Monday, May 26, 1986",800,"Without his lyrics, Dionne Warwick would have only hummed Burt Bacharach's tune"
MATHEMATICS,,"Show #446 - Monday, May 26, 1986",800,It took a team of 8 writers to adapt a French comic strip into this 41st century ultra-high camp film
TABLE MANNERS,3 and 7,"Show #446 - Monday, May 26, 1986",1000,The prime factors of 21
20th CENTURY ART,an Inverness,"Show #446 - Monday, May 26, 1986",1000,"Named for a city in Scotland, it's a type of overcoat with detachable cape"
GOLF,(Alexander) Pushkin,"Show #446 - Monday, May 26, 1986",1000,"Possibly the greatest Russian poet of all time, this author of ""Boris Godunov"" was part black"
LEFTOVERS,David Birney,"Show #446 - Monday, May 26, 1986",1000,"Name shared by a Union general at Gettysburg & an actor who played TV's ""Serpico"""
MATHEMATICS,Elois (or Morlocks),"Show #446 - Monday, May 26, 1986",1000,"1 of 2 races Rod Taylor meets circa 800,000 A.D. in ""The Time Machine"""
TRAVEL & TOURISM,the forest,"Show #958 - Wednesday, November 2, 1988",100,"In a common saying, it's what some people can't see for the trees"
COUNTRY & WESTERN MUSIC,golf,"Show #958 - Wednesday, November 2, 1988",100,"You can visit this sport's hall of fame on PGA Blvd. in Pinehurst, North Carolina"
MEDICINE,don\'t fence me in,"Show #958 - Wednesday, November 2, 1988",100,"In Cole Porter's song, these words follow ""can't look at hobbles and I can't stand fences"""
TELEVISION,a pacemaker,"Show #958 - Wednesday, November 2, 1988",100,Device that's implanted to control irregular heart beats
SKUNKS,Bill Bixby,"Show #958 - Wednesday, November 2, 1988",100,"Ray Walston was the Martian while the ""my"" in ""My Favorite Martian"" referred to him"
U.S. STATES,spray,"Show #958 - Wednesday, November 2, 1988",100,"With a favorable wind, skunks can do this for up to about 23 feet"
TRAVEL & TOURISM,forfeit,"Show #958 - Wednesday, November 2, 1988",200,A college team might have to do this for games played with ineligible team members
